,add_confirm,confirm,date,dead,deadRate,heal,healRate,name,suspect
0,440,78630,2020-02-27 11:54:43,2747,3.49,32531,41.37,中国,2358
1,0,1595,2020-02-27 11:54:43,13,0.82,24,1.5,韩国,0
2,0,705,2020-02-27 11:54:43,4,0.57,0,0.0,钻石号邮轮,0
3,0,470,2020-02-27 11:54:43,12,2.55,3,0.64,意大利,0
4,0,189,2020-02-27 11:54:43,1,0.53,1,0.53,日本本土,0
5,0,139,2020-02-27 11:54:43,19,13.67,0,0.0,伊朗,0
6,0,93,2020-02-27 11:54:43,0,0.0,62,66.67,新加坡,0
7,0,60,2020-02-27 11:54:43,0,0.0,3,5.0,美国,0
8,0,40,2020-02-27 11:54:43,0,0.0,22,55.0,泰国,0
9,0,33,2020-02-27 11:54:43,0,0.0,0,0.0,巴林,0
10,0,27,2020-02-27 11:54:43,0,0.0,14,51.85,德国,0
11,0,26,2020-02-27 11:54:43,0,0.0,0,0.0,科威特,0
12,0,23,2020-02-27 11:54:43,0,0.0,15,65.22,澳大利亚,0
13,0,22,2020-02-27 11:54:43,0,0.0,15,68.18,马来西亚,0
14,0,18,2020-02-27 11:54:43,2,11.11,11,61.11,法国,0
15,0,16,2020-02-27 11:54:43,0,0.0,16,100.0,越南,0
16,0,13,2020-02-27 11:54:43,0,0.0,2,15.38,西班牙,0
17,0,13,2020-02-27 11:54:43,0,0.0,4,30.77,阿联酋,0
18,0,13,2020-02-27 11:54:43,0,0.0,8,61.54,英国,0
19,0,12,2020-02-27 11:54:43,0,0.0,4,33.33,加拿大,0
20,0,6,2020-02-27 11:54:43,0,0.0,0,0.0,以色列,0
21,0,5,2020-02-27 11:54:43,0,0.0,2,40.0,俄罗斯,0
22,0,5,2020-02-27 11:54:43,0,0.0,0,0.0,伊拉克,0
23,0,4,2020-02-27 11:54:43,0,0.0,0,0.0,阿曼,0
24,0,3,2020-02-27 11:54:43,0,0.0,3,100.0,印度,0
25,0,3,2020-02-27 11:54:43,1,33.33,1,33.33,菲律宾,0
26,0,2,2020-02-27 11:54:43,0,0.0,0,0.0,奥地利,0
27,0,2,2020-02-27 11:54:43,0,0.0,0,0.0,黎巴嫩,0
28,0,2,2020-02-27 11:54:43,0,0.0,1,50.0,芬兰,0
29,0,2,2020-02-27 11:54:43,0,0.0,0,0.0,瑞典,0
30,0,1,2020-02-27 11:54:43,0,0.0,0,0.0,瑞士,0
31,0,1,2020-02-27 11:54:43,0,0.0,0,0.0,克罗地亚,0
32,0,1,2020-02-27 11:54:43,0,0.0,1,100.0,比利时,0
33,0,1,2020-02-27 11:54:43,0,0.0,0,0.0,阿富汗,0
34,0,1,2020-02-27 11:54:43,0,0.0,0,0.0,格鲁吉亚,0
35,0,1,2020-02-27 11:54:43,0,0.0,0,0.0,北马其顿,0
36,0,1,2020-02-27 11:54:43,0,0.0,1,100.0,尼泊尔,0
37,0,1,2020-02-27 11:54:43,0,0.0,0,0.0,挪威,0
38,0,1,2020-02-27 11:54:43,0,0.0,1,100.0,柬埔寨,0
39,0,1,2020-02-27 11:54:43,0,0.0,0,0.0,希腊,0
40,0,1,2020-02-27 11:54:43,0,0.0,0,0.0,巴西,0
41,0,1,2020-02-27 11:54:43,0,0.0,1,100.0,斯里兰卡,0
42,0,1,2020-02-27 11:54:43,0,0.0,0,0.0,阿尔及利亚,0
